,Unnamed: 0,zip,latitude,longitude,city,state,county,name,Weather_Stations,Start_date,End_date,AVG_TEMP,AVG_MIN_TEMP,AVG_MAX_TEMP,AVG_PRECIPITATION
32,32,65804,37.1514,-93.238,Springfield,MO,Greene,00000_Mercy_Hospital_Springfield_Pharmacy,72440,2019-05-16,2020-05-16,14.122629969418961,8.922018348623853,19.85290519877676,4.251070336391438
33,33,60601,41.8119,-87.6872,Chicago,IL,Cook,Clacyo 15th Floor,72534,2018-09-18,2019-05-03,3.817982456140351,-0.21403508771929827,7.821491228070175,3.0521929824561402
34,34,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,Clayco_St. Louis Office,KCPS0,2019-02-21,2021-02-23,12.905303030303031,7.927020202020202,18.28989898989899,0.319949494949495
35,35,60612,41.8119,-87.6872,Chicago,IL,Cook,10102045_Central Campus Health Center,72534,2015-11-30,2018-05-30,10.685323110624315,6.450054764512596,15.128915662650602,3.0762322015334065
36,36,30263,33.3696,-84.8194,Newnan,GA,Coweta,10104980 - Bridgeport Amazon TI,KCCO0,2020-01-27,2020-08-01,14.316666666666666,9.645833333333334,19.333333333333332,0.0
37,37,25442,39.3716,-77.8229,Shenandoah Junction,WV,Jefferson,10103177 - Rockwool Ran5,KMRB0,2018-09-03,2020-04-10,10.943562610229277,6.0776014109347445,16.035449735449735,0.282363315696649
38,38,63132,38.6746,-90.3747,Saint Louis,MO,Saint Louis,10104560 - EDGE @ BRDG,KCPS0,2019-04-09,2020-05-07,13.767714285714286,8.8,19.15085714285714,0.33885714285714286
39,39,30529,34.1697,-83.5707,Commerce,GA,Jackson,10104563 - SKBA  Phase 1,K19A0,2019-05-01,2021-05-01,13.767714285714286,8.8,19.15085714285714,0.33885714285714286
40,40,35806,34.7618,-86.68700000000001,Huntsville,AL,Madison,10104349 - Blue Engine,72323,2018-12-01,2019-12-19,16.976822916666666,11.329166666666667,23.16015625,4.372395833333333
41,41,23219,37.5417,-77.4392,Richmond,VA,Richmond City,10102550-Dominion_Workplace_Tower_1,72401,2016-01-12,2019-01-31,15.200985663082438,9.719534050179211,20.982526881720432,3.581810035842294
42,42,83687,43.6023,-116.553,Nampa,ID,Canyon,10104094 - Project_Bronco,KMAN0,2018-08-10,2019-06-30,15.200985663082438,9.719534050179211,20.982526881720432,3.581810035842294
43,43,60647,41.8119,-87.6872,Chicago,IL,Cook,10102646-1980_N._Milwaukee,72534,2017-06-01,2018-06-01,10.99672131147541,6.643715846994535,15.742622950819673,2.665846994535519
44,44,21219,39.2296,-76.4455,Sparrows Point,MD,Baltimore,10103063_DCA1 Project Blue Jay,KMTN0,2017-10-01,2018-09-03,10.99672131147541,6.643715846994535,15.742622950819673,2.665846994535519
45,45,75087,32.8978,-96.4271,Rockwall,TX,Rockwall,10103049-Lollicup,KF460,2018-03-21,2018-09-26,25.62202380952381,20.661309523809525,31.025,0.0
46,46,85338,33.2765,-112.18700000000001,Goodyear,AZ,Maricopa,10103340_Chewy,72278,2017-09-15,2018-05-29,21.44669260700389,14.57237354085603,28.348249027237355,0.10311284046692606
47,47,63017,38.6491,-90.5357,Chesterfield,MO,Saint Louis,10102666_Pfizer 2.0,KSUS0,2017-05-01,2019-04-30,13.673858921161825,8.056846473029045,19.433056708160443,0.21065006915629322
48,48,16802,40.7997,-77.8623,University Park,PA,Centre,Penn State East Halls Phase 2B,KUNV0,2020-05-11,2021-08-15,13.673858921161825,8.056846473029045,19.433056708160443,0.21065006915629322
49,49,98327,47.0909,-122.65700000000001,Dupont,WA,Pierce,10103550 - DuPont Building B (Spec 2),74207,2019-08-23,2020-06-01,7.594690265486726,3.424778761061947,11.805309734513274,0.0
50,50,30263,33.3696,-84.8194,Newnan,GA,Coweta,101012358 - Bridgeport Building B,KCCO0,2020-01-06,2020-08-02,13.588172043010752,8.943010752688172,18.544086021505375,0.0
51,51,29536,34.4222,-79.3413,Dillon,SC,Dillon,10102710-Harbor_Freight_Tools,KMAO0,2017-10-16,2018-11-02,16.80636042402827,11.568904593639576,22.749116607773853,0.0
52,52,60601,41.8119,-87.6872,Chicago,IL,Cook,Clayco_BIM360_Training,72534,2016-03-14,2018-03-02,12.186091794158553,7.866620305980528,16.711265646731572,3.2570236439499305
53,53,17406,40.0046,-76.5947,York,PA,York,10104576 - Emig Road,72399,2019-05-16,2020-05-18,13.658103975535168,8.791131498470948,18.840672782874616,3.0088685015290517
54,54,64153,39.2705,-94.7416,Kansas City,MO,Platte,10102647-CVS_Midwest_DC,72441,2016-12-01,2018-07-02,13.658103975535168,8.791131498470948,18.840672782874616,3.0088685015290517
55,55,53158,42.5293,-87.8854,Pleasant Prairie,WI,Kenosha,10103376 - Blue Point,KENW0,2018-12-13,2018-12-14,1.5,-4.75,6.1,0.0
56,56,29651,34.9623,-82.3301,Greer,SC,Greenville,10104688 - Inland 85 Building C,KGMU0,2019-10-01,2020-03-27,12.217613636363636,7.7125,16.90909090909091,0.31136363636363634
57,57,16801,40.8819,-77.8678,State College,PA,Centre,10102850 - Penn State East Halls Phase 1C,KUNV0,2017-10-18,2019-08-22,9.434392523364487,5.1491588785046725,14.00411214953271,0.0
58,58,63108,38.6448,-90.25200000000001,Saint Louis,MO,Saint Louis City,10102590 - One Hundred Kingshighway,KCPS0,2017-07-18,2020-07-19,13.067080745341615,7.915113871635611,18.549482401656313,0.2506211180124224
59,59,61820,40.1018,-88.1972,Champaign,IL,Champaign,10102480 - UIUC Design Center 2,KCMI0,2018-06-29,2020-06-01,10.65890625,5.771875,15.75171875,0.13234375
60,60,48342,42.6942,-83.2885,Pontiac,MI,Oakland,10104895 - Amazon G4.5 Pontiac MI,KPTK0,2019-10-21,2021-06-15,1.1451807228915662,-2.486144578313253,4.751807228915663,0.03795180722891567
61,61,98327,47.0909,-122.65700000000001,Dupont,WA,Pierce,10103549 - Dupont Building A,74207,2018-10-09,2019-06-10,10.371232876712329,5.863013698630137,15.205479452054794,0.0
